"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"406",14,"Teddy Bridgewater",MIA,"QB41","11","2 out of 5 stars","-"
"407",14,"Juwan Johnson",NO,"TE53","14","4 out of 5 stars","-"
"408",14,"Riley Patterson",JAC,"K33","11","4 out of 5 stars","-"
"409",14,"Tony Jones Jr.",NO,"RB116","14","3 out of 5 stars","-"
"410",14,"Chris Conley",HOU,"WR135","6","3 out of 5 stars","-"
"411",14,"Ashton Dulin",IND,"WR136","14","4 out of 5 stars","-"
"412",14,"Tyrod Taylor",NYG,"QB42","9","5 out of 5 stars","-125"
"413",14,"Eddy Pineiro",CAR,"K34","13","4 out of 5 stars","-"
"414",14,"Geoff Swaim",TEN,"TE54","6","5 out of 5 stars","-"
"415",14,"Justin Watson",KC,"WR137","8","2 out of 5 stars","-"
"416",14,"Tristan Vizcaino",FA,"K35","-","-","-"
"417",14,"Pharaoh Brown",HOU,"TE55","6","3 out of 5 stars","-"
"418",14,"Ty Chandler",MIN,"RB117","7","4 out of 5 stars","-"
"419",14,"Jonathan Garibay",FA,"K36","-","-","-"
"420",14,"Dare Ogunbowale",HOU,"RB118","6","3 out of 5 stars","-"
"421",14,"Tutu Atwell",LAR,"WR138","7","2 out of 5 stars","-"
"422",14,"Jamal Agnew",JAC,"WR139","11","4 out of 5 stars","-"
"423",14,"Phillip Dorsett II",HOU,"WR140","6","3 out of 5 stars","-"
"424",14,"Laquon Treadwell",NE,"WR141","10","4 out of 5 stars","-"
"425",14,"Kyle Juszczyk",SF,"RB119","9","2 out of 5 stars","-"
"426",14,"Anthony McFarland Jr.",PIT,"RB120","9","3 out of 5 stars","-"
"427",14,"Tyler Huntley",BAL,"QB43","10","2 out of 5 stars","-"
"428",15,"Demetric Felton Jr.",CLE,"RB121","9","3 out of 5 stars","-"
"429",15,"Justice Hill",BAL,"RB122","10","4 out of 5 stars","-"
"430",15,"Jonathan Williams",WAS,"RB123","14","4 out of 5 stars","-"
"431",15,"Ian Thomas",CAR,"TE56","13","3 out of 5 stars","-"
"432",15,"Tylan Wallace",BAL,"WR142","10","3 out of 5 stars","-"
"433",15,"Antonio Brown",FA,"WR143","-","-","-"
"434",15,"Durham Smythe",MIA,"TE57","11","3 out of 5 stars","-"
"435",15,"Sam Howell",WAS,"QB44","14","4 out of 5 stars","-137"
"436",15,"Deon Jackson",IND,"RB124","14","3 out of 5 stars","-"
"437",15,"Ryan Griffin",CHI,"TE58","14","5 out of 5 stars","-"
