"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Justin Jefferson",MIN,"WR1","13","3 out of 5 stars","+1"
"2",1,"Christian McCaffrey",SF,"RB1","9","4 out of 5 stars","-1"
"3",1,"Ja'Marr Chase",CIN,"WR2","7","4 out of 5 stars","+1"
"4",1,"Travis Kelce",KC,"TE1","10","4 out of 5 stars","+1"
"5",1,"Nick Chubb",CLE,"RB2","5","3 out of 5 stars","+4"
"6",2,"Tyreek Hill",MIA,"WR3","10","3 out of 5 stars","0"
"7",2,"Bijan Robinson",ATL,"RB3","11","4 out of 5 stars","0"
"8",2,"Austin Ekeler",LAC,"RB4","5","3 out of 5 stars","-5"
"9",2,"Derrick Henry",TEN,"RB5","7","4 out of 5 stars","+8"
"10",2,"Stefon Diggs",BUF,"WR4","13","2 out of 5 stars","+1"
"11",2,"Tony Pollard",DAL,"RB6","7","3 out of 5 stars","+5"
"12",2,"A.J. Brown",PHI,"WR5","10","3 out of 5 stars","+2"
"13",3,"CeeDee Lamb",DAL,"WR6","7","2 out of 5 stars","-1"
"14",3,"Saquon Barkley",NYG,"RB7","13","2 out of 5 stars","-6"
"15",3,"Josh Jacobs",LV,"RB8","13","3 out of 5 stars","0"
"16",3,"Davante Adams",LV,"WR7","13","2 out of 5 stars","+2"
"17",3,"Cooper Kupp",LAR,"WR8","10","3 out of 5 stars","-7"
"18",3,"Amon-Ra St. Brown",DET,"WR9","9","3 out of 5 stars","+2"
"19",3,"Garrett Wilson",NYJ,"WR10","7","3 out of 5 stars","+2"
"20",3,"Jaylen Waddle",MIA,"WR11","10","3 out of 5 stars","+3"
"21",4,"Chris Olave",NO,"WR12","11","4 out of 5 stars","+4"
"22",4,"Patrick Mahomes II",KC,"QB1","10","3 out of 5 stars","-9"
"23",4,"Jalen Hurts",PHI,"QB2","10","3 out of 5 stars","-1"
"24",4,"Joe Mixon",CIN,"RB9","7","3 out of 5 stars","+7"
"25",4,"Josh Allen",BUF,"QB3","13","3 out of 5 stars","-6"
"26",4,"Rhamondre Stevenson",NE,"RB10","11","2 out of 5 stars","+1"
"27",4,"Najee Harris",PIT,"RB11","6","3 out of 5 stars","-3"
"28",4,"Tee Higgins",CIN,"WR13","7","4 out of 5 stars","+5"
"29",4,"Travis Etienne Jr.",JAC,"RB12","9","2 out of 5 stars","-3"
"30",4,"DeVonta Smith",PHI,"WR14","10","3 out of 5 stars","-1"
"31",4,"Amari Cooper",CLE,"WR15","5","3 out of 5 stars","+11"
"32",4,"Deebo Samuel",SF,"WR16","9","3 out of 5 stars","+5"
"33",4,"Mark Andrews",BAL,"TE2","13","4 out of 5 stars","-5"
"34",4,"DK Metcalf",SEA,"WR17","5","3 out of 5 stars","+2"
"35",4,"Jahmyr Gibbs",DET,"RB13","9","5 out of 5 stars","-5"
"36",5,"Calvin Ridley",JAC,"WR18","9","4 out of 5 stars","-1"
"37",5,"Aaron Jones",GB,"RB14","6","4 out of 5 stars","+3"
"38",5,"Lamar Jackson",BAL,"QB4","13","3 out of 5 stars","-6"
"39",5,"Kenneth Walker III",SEA,"RB15","5","2 out of 5 stars","-1"
"40",5,"Joe Burrow",CIN,"QB5","7","3 out of 5 stars","-6"
"41",5,"DJ Moore",CHI,"WR19","13","3 out of 5 stars","+9"
"42",5,"Christian Watson",GB,"WR20","6","3 out of 5 stars","+16"
"43",5,"Justin Fields",CHI,"QB6","13","5 out of 5 stars","+2"
"44",5,"Justin Herbert",LAC,"QB7","5","3 out of 5 stars","-3"
"45",5,"Dameon Pierce",HOU,"RB16","7","3 out of 5 stars","-6"
"46",5,"Keenan Allen",LAC,"WR21","5","3 out of 5 stars","-3"
"47",5,"J.K. Dobbins",BAL,"RB17","13","3 out of 5 stars","+1"
"48",5,"Miles Sanders",CAR,"RB18","7","4 out of 5 stars","+1"
"49",5,"Breece Hall",NYJ,"RB19","7","3 out of 5 stars","-2"
"50",5,"Cam Akers",LAR,"RB20","10","3 out of 5 stars","+7"
"51",5,"Alexander Mattison",MIN,"RB21","13","5 out of 5 stars","0"
"52",6,"Brandon Aiyuk",SF,"WR22","9","3 out of 5 stars","+13"
"53",6,"DeAndre Hopkins",TEN,"WR23","7","3 out of 5 stars","+1"
"54",6,"Terry McLaurin",WAS,"WR24","14","3 out of 5 stars","+2"
"55",6,"Mike Williams",LAC,"WR25","5","3 out of 5 stars","+9"
"56",6,"James Conner",ARI,"RB22","14","3 out of 5 stars","+4"
"57",6,"Drake London",ATL,"WR26","11","4 out of 5 stars","+9"
"58",6,"Trevor Lawrence",JAC,"QB8","9","3 out of 5 stars","-3"
"59",6,"Tyler Lockett",SEA,"WR27","5","3 out of 5 stars","+15"
"60",6,"T.J. Hockenson",MIN,"TE3","13","3 out of 5 stars","-14"
"61",6,"Jonathan Taylor",IND,"RB23","11","3 out of 5 stars","-17"
"62",6,"David Montgomery",DET,"RB24","9","5 out of 5 stars","+15"
"63",6,"James Cook",BUF,"RB25","13","2 out of 5 stars","-2"
"64",6,"Mike Evans",TB,"WR28","5","4 out of 5 stars","+14"
"65",6,"Christian Kirk",JAC,"WR29","9","4 out of 5 stars","+8"
"66",6,"Rachaad White",TB,"RB26","5","3 out of 5 stars","-3"
"67",6,"Jahan Dotson",WAS,"WR30","14","3 out of 5 stars","+19"
"68",6,"Javonte Williams",DEN,"RB27","9","4 out of 5 stars","-9"
"69",6,"Diontae Johnson",PIT,"WR31","6","3 out of 5 stars","+10"
"70",6,"Isiah Pacheco",KC,"RB28","10","4 out of 5 stars","+5"
"71",6,"Darren Waller",NYG,"TE4","13","1 out of 5 stars","-18"
