"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"301",12,"Tre'Quan Smith",NO,"WR101","14","4 out of 5 stars","+87"
"302",12,"Drew Lock",SEA,"QB32","11","3 out of 5 stars","+76"
"303",12,"Kenny Pickett",PIT,"QB33","9","3 out of 5 stars","-44"
"304",12,"Ka'imi Fairbairn",HOU,"K26","6","4 out of 5 stars","-"
"305",12,"Quez Watkins",PHI,"WR102","7","4 out of 5 stars","+79"
"306",12,"Darius Slayton",NYG,"WR103","9","4 out of 5 stars","+101"
"307",12,"Kyle Rudolph",TB,"TE35","11","3 out of 5 stars","-59"
"308",12,"Jacksonville Jaguars",JAC,"DST28","11","2 out of 5 stars","-"
"309",12,"Kyren Williams",LAR,"RB84","7","2 out of 5 stars","-29"
"310",12,"Giovani Bernard",TB,"RB85","11","2 out of 5 stars","+77"
"311",12,"Jalen Reagor",PHI,"WR104","7","4 out of 5 stars","-"
"312",12,"Jacoby Brissett",CLE,"QB34","9","4 out of 5 stars","+22"
"313",12,"Jimmy Garoppolo",SF,"QB35","9","3 out of 5 stars","-30"
"314",12,"Velus Jones Jr.",CHI,"WR105","14","3 out of 5 stars","+22"
"315",12,"Devin Duvernay",BAL,"WR106","10","3 out of 5 stars","-55"
"316",12,"Nick Westbrook-Ikhine",TEN,"WR107","6","3 out of 5 stars","+81"
"317",12,"Ty Johnson",NYJ,"RB86","10","4 out of 5 stars","+81"
"318",12,"Dyami Brown",WAS,"WR108","14","4 out of 5 stars","+97"
"319",12,"Pierre Strong Jr.",NE,"RB87","10","4 out of 5 stars","+7"
"320",12,"Darrynton Evans",CHI,"RB88","14","5 out of 5 stars","-"
"321",12,"Dontrell Hilliard",TEN,"RB89","6","4 out of 5 stars","-74"
"322",12,"Greg Dulcich",DEN,"TE36","9","3 out of 5 stars","+50"
"323",12,"Daniel Bellinger",NYG,"TE37","9","4 out of 5 stars","+7"
"324",12,"Tyler Conklin",NYJ,"TE38","10","3 out of 5 stars","+39"
"325",12,"Ameer Abdullah",LV,"RB90","6","2 out of 5 stars","-47"
"326",12,"Geno Smith",SEA,"QB36","11","3 out of 5 stars","+15"
"327",12,"Justin Jackson",DET,"RB91","6","4 out of 5 stars","-"
"328",13,"Quintez Cephus",DET,"WR109","6","3 out of 5 stars","-"
"329",13,"Tyler Badie",BAL,"RB92","10","4 out of 5 stars","-58"
"330",13,"Emmanuel Sanders",FA,"WR110","-","-","+35"
"331",13,"Harrison Bryant",CLE,"TE39","9","4 out of 5 stars","+102"
"332",13,"Tevin Coleman",NYJ,"RB93","10","4 out of 5 stars","+64"
"333",13,"Salvon Ahmed",MIA,"RB94","11","4 out of 5 stars","-"
"334",13,"Duke Johnson Jr.",BUF,"RB95","7","4 out of 5 stars","+4"
"335",13,"Chase McLaughlin",FA,"K27","-","-","-"
"336",13,"Kyle Philips",TEN,"WR111","6","3 out of 5 stars","-11"
"337",13,"Isaiah Likely",BAL,"TE40","10","2 out of 5 stars","+68"
"338",13,"Snoop Conner",JAC,"RB96","11","3 out of 5 stars","+4"
"339",13,"James Proche II",BAL,"WR112","10","3 out of 5 stars","+23"
"340",13,"Josh Lambo",FA,"K28","-","-","-"
"341",13,"Cole Beasley",FA,"WR113","-","-","+23"
"342",13,"Jerome Ford",CLE,"RB97","9","3 out of 5 stars","-"
"343",13,"Tommy Tremble",CAR,"TE41","13","3 out of 5 stars","+31"
"344",13,"Sam Darnold",CAR,"QB37","13","3 out of 5 stars","+51"
"345",13,"Donald Parham Jr.",LAC,"TE42","8","4 out of 5 stars","+64"
"346",13,"Las Vegas Raiders",LV,"DST29","6","3 out of 5 stars","-143"
"347",13,"Desmond Ridder",ATL,"QB38","14","3 out of 5 stars","-14"
"348",13,"Jaret Patterson",WAS,"RB98","14","4 out of 5 stars","+32"
"349",13,"Jaylen Warren",PIT,"RB99","9","3 out of 5 stars","+67"
"350",13,"Ty Montgomery",NE,"RB100","10","4 out of 5 stars","+61"
"351",13,"Jalen Guyton",LAC,"WR114","8","3 out of 5 stars","-42"
"352",13,"Anthony Firkser",ATL,"TE43","14","2 out of 5 stars","-"
"353",13,"Danny Gray",SF,"WR115","9","3 out of 5 stars","-24"
"354",13,"Tyquan Thornton",NE,"WR116","10","4 out of 5 stars","-69"
"355",13,"Foster Moreau",LV,"TE44","6","2 out of 5 stars","-20"
"356",13,"Jelani Woods",IND,"TE45","14","2 out of 5 stars","-68"
"357",13,"Detroit Lions",DET,"DST30","6","2 out of 5 stars","-95"
"358",13,"Malcolm Brown",FA,"RB101","-","-","-"
"359",13,"Cade York",CLE,"K29","9","3 out of 5 stars","-107"
"360",13,"Khalil Shakir",BUF,"WR117","7","4 out of 5 stars","-11"
"361",13,"Jared Cook",FA,"TE46","-","-","+29"
"362",13,"David Johnson",FA,"RB102","-","-","-18"
"363",13,"T.Y. Hilton",FA,"WR118","-","-","+10"
"364",13,"James Washington",DAL,"WR119","9","3 out of 5 stars","-40"
"365",13,"Olamide Zaccheaus",ATL,"WR120","14","4 out of 5 stars","-70"
"366",13,"Cade Otton",TB,"TE47","11","3 out of 5 stars","-34"
"367",13,"Brett Maher",DAL,"K30","9","5 out of 5 stars","-"
"368",13,"Amari Rodgers",GB,"WR121","14","3 out of 5 stars","-54"
"369",13,"Demarcus Robinson",BAL,"WR122","10","3 out of 5 stars","-41"
"370",13,"Devontae Booker",FA,"RB103","-","-","-3"
"371",13,"Latavius Murray",FA,"RB104","-","-","+5"
